SMILES,QED,Score
N#Cc1ccc(F)c(C(=O)NCCc2ccccc2Br)c1,0.9213399,0.9213399
O=S(Nc1ccc(Cl)cc1)c1cc(Cl)ccc1F,0.9012952,0.9012952
CCC1Cc2ccccc2CCN1C(=O)OCc1ccccc1,0.8500463,0.8500463
CCOc1ccccc1S(=O)(=O)Nc1cc(Cl)ccc1C,0.9080918,0.9080918
Cc1ncccc1CNS(=O)(=O)c1cccc(Cl)c1,0.9429475,0.9429475
Cc1ccc(S(=O)(=O)Nc2ccc(F)cn2)cc1,0.9271528,0.9271528
Cc1ccc(OCC(=O)Nc2c(C)cccc2F)cc1,0.9260573,0.9260573
Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1F,0.9412034,0.9412034
CN(CC(=O)Nc1ccc(Cl)cc1)S(=O)(=O)c1cccc(Cl)c1,0.8750799,0.8750799
CCNC(=O)NC1CCCN(CC(F)(F)F)CC1,0.8175151,0.8175151
N#Cc1cc(C(=O)NCc2ccccc2Cl)ccn1,0.9328135,0.9328135
Cc1cccc(C(=O)Nc2cccc(Cl)c2F)c1,0.8704459,0.8704459
Cc1cccc(NS(=O)(=O)c2ccccc2C#N)c1,0.9334094,0.9334094
O=S(=O)(Nc1ccc(Cl)cc1Cl)c1cccc(Cl)c1,0.8999009,0.8999009
Cc1ccccc1CNS(=O)(=O)Nc1ccc(Cl)cc1,0.8912868,0.8912868
O=S(=O)(Nc1cccc(Cl)c1)c1cc(F)ccn1,0.9435442,0.9435442
O=C(Nc1cccc(F)c1)c1ccc(F)cc1,0.8473092,0.8473092
Cc1ccc(F)c(NC(=O)c2cccc(C#N)c2F)c1,0.9105061,0.9105061
Cc1ccccc1NS(=O)(=O)C1CN(C)CCCN1C(=O)c1ccccc1,0.875323,0.875323
Cc1cncc(CNS(=O)(=O)c2cnccc2F)c1,0.9192227,0.9192227
O=C1C=CCN1C(=O)CC1CC1,0.6039891,0.6039891
COc1c(C)cccc1NC(=O)CN(C)C(C)C,0.8713979,0.8713979
COc1cc(F)ccc1S(=O)(=O)Nc1ccccc1F,0.9441783,0.9441783
O=C(c1ccc(CNCc2ccccc2)cc1)N1CCCC1,0.9181009,0.9181009
O=S(=O)(NCc1ccccc1)c1ccccc1F,0.9216776,0.9216776
O=C(NCc1cccc(F)c1)Nc1cccc(Cl)c1,0.8808092,0.8808092
Cc1cccc(NS(=O)(=O)c2cccc(Cl)c2)c1,0.9365207,0.9365207
O=S(=O)(Nc1ccc(F)cc1)c1ccc(F)cc1,0.9308821,0.9308821
O=C(Nc1cccc(C(=O)N2CCC2)c1)c1ccccc1,0.939507,0.939507
COc1ccccc1C(=O)Nc1ccc(Cl)c(F)c1,0.9293404,0.9293404
Cc1cccc(S(=O)(=O)Nc2ccccc2Cl)c1,0.9365207,0.9365207
Cc1cccc(OCc2cccc(C(N)=O)c2)c1,0.8942605,0.8942605
Cc1ccccc1S(=O)(=O)NC(C)c1ccccn1,0.9326781,0.9326781
Cc1ccc(S(=O)(=O)NCc2cccc(F)c2)cc1F,0.9429308,0.9429308
Cc1cccc(NC(=O)COc2cccc(Cl)c2)c1,0.924562,0.924562
Cc1ccncc1NS(=O)(=O)c1ccccc1C#N,0.9274567,0.9274567
COc1cccc(NS(=O)(=O)c2cccc(CO)c2)c1,0.8836784,0.8836784
Cc1ccc(C)c(S(=O)(=O)Nc2ccccc2C)c1,0.932663,0.932663
Cc1cccc(F)c1S(=O)(=O)NCc1ccccc1,0.9347857,0.9347857
Cc1ccc(S(=O)(=O)NCc2ccc(Cl)cc2)cc1,0.9417722,0.9417722
Cc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)cc1,0.9263242,0.9263242
Cc1cc(F)cc(CNS(=O)(=O)c2cccc(C)c2)c1,0.9418194,0.9418194
Cc1cccc(CN[SH](C)(=O)c2ccccc2F)c1,0.8279953,0.8279953
COc1ccc(S(=O)(=O)Nc2ccc(F)cc2F)cc1F,0.9431452,0.9431452
Cc1ccc(S(=O)(=O)Nc2ccccc2)cc1,0.9061289,0.9061289
COc1ccc(F)cc1NS(=O)(=O)c1ccc(F)c(F)c1,0.9431452,0.9431452
N#Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,0.9450992,0.9450992
COc1cccc(S(=O)(=O)Nc2ccccc2F)c1,0.9369452,0.9369452
Cc1ccc(S(=O)(=O)Nc2cccc(F)c2)cc1C,0.9371312,0.9371312
O=S(=O)(Nc1cc(Cl)ccc1F)c1ccc(Cl)cc1,0.9311288,0.9311288
O=S(=O)(Nc1cccc(F)c1)c1cccc(F)c1,0.9308821,0.9308821
CCc1ccc(S(=O)(=O)Nc2cccc(C)c2)cc1,0.9296571,0.9296571
COc1cc(NS(=O)(=O)c2ccc(F)s2)ccc1C,0.9441803,0.9441803
COc1cc(Cl)cc(S(=O)(=O)Nc2cc(OC)ccc2C)c1,0.9040239,0.9040239
COc1cc(NC(=O)c2cccc(Br)c2)ccc1C,0.9275226,0.9275226
N#Cc1cccc(CNC(=O)C(F)c2ncco2)c1,0.9086174,0.9086174
Cc1ccc(S(=O)(=O)Nc2ccccc2C)c(F)c1,0.0,0.0
Cc1ccc(Cl)c(NS(=O)(=O)c2ccc(C#N)cc2)c1,0.9453045,0.9453045
Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccccc1,0.9365207,0.9365207
O=S(=O)(Nc1cc(F)ccc1F)c1ccc(CF)cc1,0.9420736,0.9420736
